storeName,description,wholesalers,distributors,name,position,phoneNumber,email,linkedinPage,city,facebookpage,website,phones
Victra - Verizon Authorized Retailer,"Mobile Phones, Mobile Phones Accessories in Alaska",yes,no,N/A,N/A,(907) 290-8133,N/A,N/A,"110 W Tudor Rd Suite A Anchorage, AK 99503, USA",https://www.facebook.com/VictraStore/,https://www.yelp.com/biz_redir?url=https%3A%2F%2Fwww.victra.com%2F%3Futm_content%3DYelp%26utm_medium%3DURL%26utm_source%3DYelp&cachebuster=1672879166&website_link_type=website&src_bizid=h5AMGP2lhTvXnlZDZz7RaA&s=2fe45a8df8140e11171541786e7f9082bea593bd4f5dcdee1dec6f4539d03ae9,yes
Visionary Electronics LLC,"Cell phone & Accessories store in Anchorage, Alaska",no,yes,N/A,N/A,(907) 258-5020,visionaryelectronics@outlook.com,N/A,"707 E 15th Ave UNIT 3, Anchorage, AK 99501, United States",https://www.facebook.com/VvisionaryElectronics,https://visionaryelectronics-llc.ueniweb.com/,yes
ZAGG Dimond,"Cell phone & Accessories store in Anchorage, Alaska",no,yes,N/A,N/A,1 907-306-0946,dimond@zaggretail.com,N/A,"800 E Dimond Blvd #3-500, Anchorage, AK 99515, United States",https://www.facebook.com/ZAGGStore/,https://www.zaggfranchise.com/dimond-ak/,yes
Renovo Cellular Parts,"Renovo Cellular Parts LLC is a leading wholesale supplier of Wireless repair parts, which carry a wide range of selections, of gadgets and wireless accessories. The fast-growing smartphone wholesale distributor whose primary focus is the recycling business of LCD'S and Smartphones.",yes,no,N/A,N/A,1 520-327-1465,N/A,N/A,"5447 E 5th St. Ste 210B. Tucson, AZ 85711, USA",https://www.facebook.com/RenovoCellularParts/,http://www.renovocellularparts.com/,yes
Solarcomm Wireless,Solarcomm Wireless is one of the leading cellular phone distributors in the US.,no,yes,Erik Molden,President,1 480-945-3505,emolden@solarcommwireless.com,https://www.linkedin.com/in/erik-molden-17b5755/,"2143 E 5th St, Tempe, AZ 85281, United States",N/A,https://solarcommwireless.com/,yes
Sourcely Plus,Sourcely Plus is a leading wholesale cell phone and iphone repair parts distributor.,yes,no,N/A,N/A,(602)-800-9825,help@sourcelyplus.com,N/A,"549 S 48th St Suite 107, Tempe, AZ  85281, USA",N/A,https://sourcelyplus.com/,yes
Adreama,"Adreama is a North American distributor of consumer goods in the mobile phone, tablet, & wearable accessories.",no,yes,N/A,N/A,N/A,ralph@adreama.com,N/A,"California, USA",https://www.facebook.com/adreamadistributors.inc/,https://adreama.com/,yes
Aeonz Electronics,A wholesale replacement cell phone and tablet parts retailer.,yes,no,N/A,N/A,(818) 824-4545,info@aeonz.com,N/A,"7314 Laurel Canyon Blvd., North Hollywood, CA 91605, USA",https://www.facebook.com/yourcellparts/,https://aeonz.com/,yes
AH Brands Inc,AH brands has been a leading  Cellphone accessories wholesalers since 2010.,yes,no,N/A,N/A,209 297 3200,N/A,N/A,"5681, Franklin blvd Ste T, Sacramento, CA 95824, USA",https://www.facebook.com/ahbrandssac,https://www.ahwholesale.com/,yes
AH Wholesale Lycamobile Master Dealer-Prepaid Sim Cards,AH Prepaid is Leading Authorized master cell phone distributor for Lycamobile.,no,yes,N/A,N/A,(209) 297-3200,N/A,N/A,"520 North Main Street #206 Angels Camp, CA 95222 USA",N/A,https://ahprepaid.business.site/?utm_source=gmb&utm_medium=referral,yes
"Aimo Wireless, Inc.",Wholesaler of Cellular/ Mobile/ Tablet Accessories.,yes,no,N/A,N/A,626-369-6688,sales@aimowireless.com,N/A,"17930 E. Rowland St., City of Industry, CA 91748, USA",https://www.facebook.com/AimoWireless,http://aimowireless.com/,yes
"AmeriTel, Inc.","Ameritel, headquartered in New York City has seen a tremendous growth in its network of more than 3,400 retail merchants. They are also one of the most highly rated wholesale cell phone distributors.",yes,yes,Chaz Chahal,CEO,1 800-974-6637,info@ameritelinc.com,https://www.linkedin.com/in/chazchahal/,"9445 De Soto Ave, Chatsworth, CA 91311, USA",N/A,https://www.ameritelinc.com/,yes
Bargain Wholesale,High value source of wholesale Cell Phone Accessories.,yes,no,N/A,N/A,(323) 980-8170,showroom@bargainw.com,N/A,"4000 Union Pacific Ave, Los Angeles, CA 90023, USA",https://www.facebook.com/bargainwholesaleca,https://www.bargainw.com/,yes
Best LA Wireless,Cell phone & Accessories store in California,no,yes,N/A,N/A,1 213-620-1000,sales@bestlawireles.com,N/A,"308 S Los Angeles St, Los Angeles, CA 90013, United States",N/A,https://bestlawireless.com/,yes
Beyond Cell,"BEYOND CELL is a premium cell phone accessories manufacturer and distributor in sunny Los Angeles, CA.",no,yes,N/A,N/A,1 626-869-0717,sales@beyondcell.com,N/A,"12718 Schabarum Ave, Baldwin Park, CA, United States",https://www.facebook.com/MyBeyondCell/,https://www.beyondcell.com/,yes
C2 Wireless,"C2 Wireless is a leading distributor of wireless accessories, handsets, wearables, parts and PC components, offering the latest and most innovative products from top manufacturers and in-house owned and licensed brands.",no,yes,Jay Sachdeva,CEO,1-877-229-0017,sales@c2wireless.com,https://www.linkedin.com/in/jay-sachdeva-79300814,"17852 E 17th Street #205, Tustin, CA 92780, USA",http://www.facebook.com/c2wireless,https://www.c2wireless.com/,yes
"CableWholesale.com, Inc.","CableWholesale carries a wide selection of wholesale cell phone accessories. Our collection includes Bluetooth products, data cables, cases and organizers, headphones, cell phone chargers, and more.",yes,no,Sharon Jiang,Founder and CEO,(925) 455-0800,sales@cablewholesale.com,https://www.linkedin.com/in/sharon-jiang-895b6b15/,"1200 Voyager St., Livermore, CA 94551, USA",https://www.facebook.com/CableWholesale,https://www.cablewholesale.com/,yes
Cellet Wholesale,The largest wholesaler and manufacturer of mobile accessory brand for over 20 years.,yes,no,N/A,N/A,(562)404-2800,info@cellet.com,N/A,"13211 166Th Street, Cerritos, CA 90703, U.S.A.",https://www.facebook.com/gocellet,https://wirelesscloseout.com/,yes
Cellpak Inc.,Cellpak Inc. is a distributor of cellphone accessories and manufacturer of cell phone cases.,no,yes,Bob Niedermeier,General Manager,(909) 839-2888,N/A,https://www.linkedin.com/in/bob-niedermeier-792880a/,"138 South Brent Circle, City Of Industry, CA 91789, USA",N/A,http://www.cell-pak.com/,yes
CellularOutfitter,CellularOutfitter is a dominant online retailer of mobile accessories with an upstart fashion-forward direct-to-consumer brand (Mobovida) that's forging a unique and disruptive way of product development via our various digital marketing channels.,no,yes,Ryan Sutcliffe,Customer Service Representative,N/A,support@cellularoutfitter.com,https://www.linkedin.com/in/ryan-sutcliffe-164649b3/,"18535 E. Gale Ave. City of Industry, CA 91748, USA",https://www.facebook.com/cellularoutfitter/,https://www.cellularoutfitter.com/,yes
"Celluphone, Inc.","Celluphone, Inc. is engaged in the wholesale distribution of wireless equipment. It offers smartphones, feature phones, Internet devices, and accessories; online tools for large retail chains; and personal support services.",yes,no,Annette Lopez,Director of Marketing,(800) 367-8822,DealerSupport@Celluphone.com,https://www.linkedin.com/in/annette-lopez-b9294a81/,"6119 East Washington Blvd., Los Angeles, CA 90040, USA",N/A,https://secure.celluphone.com/,yes
"CTB Wireless, Inc.","Wholesale distributors of cellular phones, accessories, parts and mobile electronics since 1998.",yes,no,N/A,N/A,626.345.9705,info@ctbwireless.com,N/A,"3579 E. Foothill Blvd., Suite 385, Pasadena, CA 91107-3119, USA",N/A,https://ctbwireless.com/,yes
digiCircle.com,Cell phone & Accessories store in California,no,yes,N/A,N/A,1 510-656-5050,N/A,N/A,"41509 Albrae St, Fremont, CA 94538, United States",N/A,http://www.digicircle.com/,yes
Digital Wireless Wholesale Phone Accessories,"Wholesaler in Sacramento, California",yes,no,N/A,N/A,1 916-856-1800,digitalwirelessnew@gmail.com,N/A,"5460 Florin Perkins Rd, Sacramento, CA 95826, United States",N/A,https://www.dwirelesst.com/,yes
DirectFix,"We offer quality parts & mail in repair services for iPhone, iPad, iPod, Android and more.",no,yes,N/A,N/A,(866) 979-1623,customerservice@directfix.com,N/A,"358 Digital Drive Morgan Hill, CA 95037, USA",https://www.facebook.com/DirectFix/,https://directfix.com/,yes
Discount Cellular Accessories,Discount Cellular Accessories is a third party wholesale retailer that supplies cell phone accessories across the greater Los Angeles Area since 1997. ,yes,no,Jasen Seeger,Owner,800-230-1027,jasen@calldcafirst.com,N/A,"22935 Ventura Blvd. Suite 228, Woodland Hills, CA 91364, USA",N/A,https://www.cellular4u.net/,yes
Downtown Cellular,"Our company offers for wholesale and retail a variety of all wireless needs ranging from cellphones, prepaid cards,to accessories.",yes,no,N/A,N/A,(213) 746-3334,info@downtowncellular.com,N/A,"1827 E 16th St Los Angeles CA 90021, USA",https://www.facebook.com/DowntownCellular/,https://downtowncellular.com/,yes
DreamWireless Inc.,"As one of North America’s largest wholesale wireless accessory distributors, Dream Wireless redefines the excellence in distributorship by constantly keeping up with the dynamics of the marketplace in demands, supplies and solutions.",yes,yes,Brandi Castillo,CEO / Owner,626.820.1600,sales@dreamwireless.com,https://www.linkedin.com/in/brendacastillo2122/,"20625 Lycoming St, Diamond Bar, CA 91789, USA",https://www.facebook.com/dreamwireless/,https://dreamwireless.net/,yes
"EagleCell, Inc.","Eaglecell is a leading manufacturer of a wide range of cell phone accessories such as skin cases, protectors, and batteries. With a 20,000 square feet warehouse in California, U.S.A. and a 60,000 square feet factory in China. Eaglecell manufactures high quality products and distributes them to North America, Latin America, and Asia.",no,yes,N/A,N/A,626-968-3188,sales@eaglecell.com,N/A,"590 W. Central Ave. Ste. I, Brea, CA 92821, USA",https://www.facebook.com/Eaglecell,http://eaglecell.com/,yes
Emaan wireless Inc,"Emaan wireless Inc. is a professional factory direct manufacturer, importer and distributor offering thousands of accessories for all the top brands.",no,yes,N/A,N/A,510-979-9500,emaanwireless@hotmail.com,N/A,"1512 Fulton Place, Fremont, CA 94539, USA",N/A,http://www.emaanwireless.com/,yes
"Emax City, Inc.",Wholesale of Cellular/ Mobile/ Tablet Accessories.,yes,no,N/A,N/A,(909) 895-0868,sales@emaxcity.net,N/A,"19973 Harrison Ave., City of Industry, CA 91789, USA",https://www.facebook.com/Emaxcity,http://www.emaxcity.com/,yes
Entro Wholesale,We offer a variety of premium quality accessories for mobile businesses,yes,no,N/A,N/A,(212)203-7521,hello@entrowholesale.com,N/A,"California, USA",https://www.facebook.com/Entrowholesale/,https://www.entrowholesale.com/,yes
Exchange Cellular,Our company is a nationwide distributor of accessories for wireless phones and PDA’s.,no,yes,N/A,N/A,303-420-0391,N/A,N/A,"316 Mira Loma Ave, Glendale, California, 91204, United States",N/A,https://exchangecellular.com/,yes
Fatboy Cellular - Mobile Cell Phone Accessories Wholesaler,"FATBOY CELL LX Inc, a wholesaler / distributor / importer that offers top quality cell phone accessories in the United States since 2015. Fatboy Cell's most popular products consist of a variety of accessories ranging from protective cases, wallet pouches, chargers, hands frees, and power-banks. If you are a Wholesaler/Retailer, consider our innovative product lines.",yes,yes,N/A,N/A,1 626-961-5388,info@fatboycell.com,N/A,"15336 Valley Blvd, City of Industry, CA 91746, United States",N/A,http://www.fatboycell.com/,yes
Gadgetfix Inc.,Wholesale Cell Phone Replacement Parts,yes,no,N/A,N/A,844-842-3438,order@gadgetfix.com,N/A,"15041 Bake Parkway, Unit C, Irvine, CA 92618, USA",https://www.facebook.com/gadgetfixdotcom/,https://gadgetfix.com/,yes
G Wireless - Distributor & Wholesaler of Cell Phone Accessories,"G Wireless is a wholesale company with an objective to distribute the best consumer electronics products across the country. We are a one-stop-shop with a lot to offer such as; cell phones, screen protectors, headphones, batteries, chargers, cables, speakers, and much more. We also offer mobile services such as; T-Mobile, Boost Mobile, Page Plus, GoSmart, Simple Mobile, H20. ",yes,no,N/A,N/A,213-745-5065,info@gwirelessinc.com,N/A,"2323 S Hoover St, Los Angeles, CA 90007, United States",N/A,https://www.gwirelessinc.com/,yes
HDAccessory.com,"HDAccessory.com brings the best in consumer electronics, portable accessories, entertainment software and more directly to you, from a company you can trust.",no,yes,N/A,N/A,N/A,info@hdaccessory.com,N/A,"3380 Flair Drive Suite 107, El Monte, CA 91731, USA",N/A,https://www.hdaccessory.com/,yes
Highest Rated Wireless Inc,Highest Rated Wireless Inc. is one of the leading providers of wholesale cell phone and wireless accessories worldwide.,yes,no,Nitish Dhir,Founder,626-347-5662,info@hrwireless.com,N/A,"2037 S Vineyard Ave, Ontario, CA 91761, United States",N/A,http://www.hrwireless.com/,yes
Hypercel Corporation,Hypercel is a wholesale wireless distributor of mobile phone accessories. ,yes,no,David Nazar,CEO,1 661-310-1000,globalsales@hypercel.com,N/A,"28385 Constellation Rd, Valencia, CA 91355, United States",https://www.facebook.com/hypercel,https://www.hypercel.com/,yes
Kole Imports Inc.,"Founded in 1982, Kole Imports is a mega importer and wholesaler of general merchandise and closeout deals in the USA. In fact,  Kole Imports has more than 2000 best-selling products including a wide assortment of phone accessories and electronic gadgets.
The range includes charging cables, Bluetooth earphones, car chargers and stands. Kole Imports also carry a large collection of tablet accessories, wireless headphones and powerbanks.",yes,no,Robert Kole,Owner,310.834.0004,support@koleimports.com,https://www.linkedin.com/in/robkolebuyscloseouts/,"24600 Main Street Carson, CA 90745, USA",https://www.facebook.com/KoleImportsWholesale,https://www.koleimports.com/,yes
Kracked Screens,Kracked Screens is a global distributor of mobile device parts. ,no,yes,N/A,N/A,(510) 282-7959,sales@krackedscreens.com,N/A,"2890 N Main Street, Suite 207, Walnut Creek, CA 94597, USA",N/A,https://www.krackedscreensparts.com/,yes
LA Express Distribution - Cell Phone Accessories Wholesale,"Wholesaler in La Puente, California",yes,no,N/A,N/A,626-501-5819,info@laexpressdistribution.com,N/A,"15858 Main St.,La Puente, CA. 91744, USA",https://www.facebook.com/LAExpressDistribution/,https://www.laexpressdistribution.com/,yes
LCDSwap Inc.,LCDSWAP is the #1 Cell Phone Replacement Parts Distributor and Wholesale Supplier in the USA and Canada carrying over 9000 unique SKUs for Repair Parts..,yes,yes,N/A,N/A,(844) 523-7927,info@lcdswap.com,N/A,"801 S Lemon Ave, Walnut, CA 91789-2906, USA",N/A,https://lcdswap.com/,yes
Maya Parts,Maya Parts is a cellular replacement parts distribution and wholesale operation involved exclusively in B2B sales and services.,yes,yes,N/A,N/A,424 248 3896,sales@mayacellularparts.com,N/A,"4941 Walnut Grove Ave., San Gabriel, CA 91776, USA",https://www.facebook.com/MayaCellularParts/,https://mayacellularparts.com/,yes
Mega Wireless Los Angeles,"Cell phone store in Los Angeles, California",yes,no,N/A,N/A,1 213-514-8900,megawireless213@gmail.com,N/A,"530 S Los Angeles St, Los Angeles, CA 90013, United States",https://www.facebook.com/Mega-Wireless-Los-Angeles-,http://www.megawirelessla.com/,yes
Mighty Wireless Wholesale Cellphone Accessories,"Large Selection of Top Selling Wholesale Phone Accessories, Electronics and more.",yes,no,N/A,N/A,(909) 413-1233,sales@mightywirelessinc.com,N/A,"239 E. 5th Street #60 Los Angeles, CA 90013, USA",N/A,https://mightywirelessinc.com/,yes
Mobile Goods,"Mobile Goods is a full-service provider of cell phones, tablets and accessories for enterprise businesses.
 
 We are a partner and authorized reseller of many brands, and carry a full line of smartphones, tablets and accessories from leading companies like Google, Samsung, Lenovo and more.",no,yes,Hiren P.,Founder,1 562-758-0556,info@mobilegoods.net,https://www.linkedin.com/in/hpatel252/,"Cerritos, California 90703, US",https://www.facebook.com/mobilegoodsinc,https://mobilegoods.net/,yes
Motek Team Inc.,"Motek Team Inc. was founded in 2012 with a passion for accessories and now represents quality brands with distributors and retailers in the Americas and around the globe.
We specialize in mobile accessories and consumer electronics (CE) products.",no,yes,N/A,N/A,858-836-1580,N/A,N/A,"7343 Ronson RD STE M, San Diego, CA, 92111, USA",N/A,https://www.motekteam.com/,yes
MPD Mobile Parts & Devices,"MPD Mobile Parts & Device is official Authorized wholesale distributor for Motorola cell phone & tablet repair parts with wide range of repair parts like LCD Display, Back Cover, Charge Port & Connector, Battery, Adhesive, Camera, Camera Lens, Flexes & Cables, Stylus, Speaker, Sim Tray, Vibrate Motor, Frames & other accessories for popular Motorola Models.",yes,yes,James Cooper,Director,(408) 836-7483,sales@mpdmobileparts.com,https://www.linkedin.com/in/james-cooper-53640a19/,"611 Vaqueros Ave, Sunnyvale, CA 94085-3524, USA",https://www.facebook.com/mpdmobilepart/,https://mpdmobileparts.com/,yes
"MyCoolCell, LLC","MyCoolCell is a wholesale wireless accessory distributor that supports Retailers, Repair Shops, Corporate Accounts, College Bookstores and more.",yes,no,Justin Guese,Sales Manager,1(877) 369-2088,info@mycoolcell.net,https://www.linkedin.com/in/justin-guese-85656872/,"18071 Arenth Ave,City of Industry, CA 91748, USA",https://www.facebook.com/MyCoolCell/,https://mycoolcell.net/,yes
Oem Experts,We Sell & Distribute Major Brand Cell Phone Accessories,no,yes,Bobby H.,VP Sales & Business development,718.859.2220,bobby@oemexperts.com,https://www.linkedin.com/in/bobby-h-4719586/,"1020 East 48th Street, Brooklyn, NY 11203, USA",https://www.facebook.com/OEMexperts/,https://oemexperts.com/,yes
Rush Star Wireless,"Rush Star Wireless Wholesale offers a variety of the most popular cell phone models at wholesale prices. From smart phones such as Apple iPhones, to Samsungs, to BlackBerries and everything else in between, we've got them!",yes,no,Marvin Attallah,Chief Executive Officer,(877) 488-7874,info@rushstarwireless.com,https://www.linkedin.com/in/marvinattallah/,"1124 Bay Blvd Ste D, Chula Vista, California 91911, United States",https://www.facebook.com/rushstarwireless,https://www.rushstarwireless.com/,yes
Sahara Wireless,We are manufacturers and distributors of cell phone accessories.,no,yes,Mohammad Samim,General Manager,(213) 999-8332,info@saharawireless.com,https://www.linkedin.com/in/mohammad-samim-23aa00117/,"6111 Scott Way, Commerce, CA, 90040, USA",https://www.facebook.com/saharawirelessOfficial,http://saharawireless.com/,yes
SEG Mobile,"With the purpose of offering the best quality cell phone parts for any repair shop, SEGMobile.com was set up to provide a one-stop solution for our customers. We are able to provide you all the replacement parts for Apple, Samsung, Google, Motorola, LG, and other brands. Our strict QC standard guarantee all of our parts are of high quality.",no,yes,N/A,N/A,1 (840) 207-7727,sales@segmobile.com,N/A,"20615 Valley Blvd, City of Industry, CA 91789, USA",https://www.facebook.com/people/SEG-Mobile/100083470835518/,https://segmobile.com/,yes
Skech,"Manufacturing and distributing smartphone and tablet accessories fit for all shapes, sizes, styles and personalities.",no,yes,Yishay Hornik,Sales Director,(858) 381-5171,onlineorders@skech.me,https://www.linkedin.com/in/yishay-hornik-a5012610/,"3556 Ruffin Rd., San Diego, California 92123, USA",N/A,http://www.skech.me/,yes
Smart Tech Wireless,"Smart Tech Wireless  is the premier distributor of smartphone, tablet, and mobile device accessories for the North American market.",no,yes,N/A,N/A,N/A,N/A,N/A,"480 S Los Angeles Street , 131, Los Angeles, California 90013, USA",https://www.facebook.com/smarttechwirelessLA/,N/A,yes
Smart Wireless Parts,Global distributor of mobile device parts. We are one of the largest replacement parts distributors in the nation and supply a growing list of reputable service and repair centers with top quality components.,no,yes,N/A,N/A,1 559.362.6817,smartwirelessparts@gmail.com,N/A,"1500 South Mooney Boulevard STE #5
 Visalia, CA 93277, USA",N/A,https://www.smartwirelessparts.com/,yes
Sunwireless Inc,"Sun Wireless carries the Hot, Quality, iPhone, Blackberry, Samsung, LG, Droid, Huawei & Other Cell Phone accessories for the major cell phone carriers in North America: AT&T, MetroPCS, Cricket, Verizon, Boost Mobile, T-Mobile, Virgin Wireless, US Cellular, Southern Linc and Sprint. We also have iPad accessories. ",no,yes,Yasmin Aslam,Sales Manager,N/A,N/A,https://www.linkedin.com/in/yasmin-aslam-b9a93367/,"45961 Warm Springs Blvd, Suite 6, Fremont, CA 94539, USA",N/A,https://www.sunwireless.com/,yes
Superior Communications,"As the nation’s largest mobile accessories distributor, Superior Communications has consistently pushed to evolve and stay nimble, a challenge that is wholly embraced by our organization.",no,yes,Sean Hashimoto,Vice President of Strategic Operations,877-522-4727,salesinfo@scp4me.com,https://www.linkedin.com/in/sean-hashimoto-873146117,"5027 Irwindale Ave., Suite 900, Irwindale, CA 91706, USA",https://www.facebook.com/superiorcommunicationsinc/,https://superiorcommunications.com/,yes
Topline Wireless,"Topline Wireless is your one stop shop for all things Cellular Accessories. whether it’s Cellular Accessories from our online retail shop, Bulk Iphone Chargers from our wholesale shop.",yes,no,N/A,N/A,925-998-6930,N/A,N/A,"392 West Larch Road #10 Tracy, California 95304, USA",https://www.facebook.com/toplinewireless,https://toplinewireless.com/,yes
Valor Communication,"Valor Communication Inc., maker of the MYBAT brand, is one of the largest cell phone accessories distributor and manufacturer worldwide.",no,yes,Albert Bitar,Chief Executive Officer,(877) 369-2088,facebook@2valor.com,https://www.linkedin.com/in/albert-bitar-735ba966/,"18071 Arenth Ave.,City of Industry, CA 91748, USA",https://www.facebook.com/Valorcommunication/,https://www.2valor.com/,yes
"Wireless Parts, Inc.","Wireless Parts, Inc. is the LEADER in Cell Phone Parts. Offering an extensive product range, our main series include  mobile phone LCD Screen, Housing Faceplace, Microphone, Speaker, Flex cable and more.",no,yes,N/A,N/A,714-966-9236 ,wpi9669236@gmail.com,N/A,"1906 S. Main Street, Santa Ana, CA 92707, U.S.A",https://m.facebook.com/profile.php?id=121010911290606&__tn__=C-R,https://www.wirelesspartsinc.com/,yes
"WirelessTree, Inc.","Located in sunny California, WirelelessTree is engaged in the wholesale of Boost and Virgin Mobile phone and tablet accessories.",yes,no,N/A,N/A,626.758.1668,sales@gowirelesstree.com,,"3018 Durfee Ave, Unit B, El Monte, CA. 91732, USA",N/A,https://www.gowirelesstree.com/,yes
Wireless World,"Wholesale supplier of new, brand name consumer electronics & cell phones.",yes,no,Sam Delafraz,CEO,(310) 721-4363,sam@wirelessworldshop.com,https://www.linkedin.com/in/sam-delafraz-95118b185/,"16141 Leadwell St. Van Nuys, CA 91406, United States",N/A,https://wirelessworldshop.com/,yes
Cases.com,"Cases.com is an online retailer of phone and tablet cases, providing customers with a wide selection of options for their devices. We pride ourselves in offering a wide range of brands and designs, from popular brands such as Apple, Samsung, and Motorola, to lesser-known devices. ",no,yes,N/A,N/A,1 877-255-8766,customerservice@cases.com,N/A,"P.O. Box 461716 Aurora, CO 80046, USA",https://www.facebook.com/casesdotcom,https://www.cases.com/,yes
CELLULAR EXCHANGE,"Store offering pre-owned cell phones for all carriers, accessories plus repair & trade-in services.",no,yes,N/A,N/A,303 420-0391,N/A,N/A,"6872 Wadsworth Blvd Arvada, CO 80003, USA",N/A,https://www.cellularexchange303.com/,yes
Colorado Gadget Fix,Cell phone store in Colorado,no,yes,N/A,N/A,1 719-309-6571,N/A,N/A,"3926 N Academy Blvd, Colorado Springs, CO 80917, United States",https://www.facebook.com/coloradogadgetfix,https://coloradogadgetfix.com/,yes
High Tides Wireless,"Cell phone store in Grand Junction, Colorado",no,yes,N/A,N/A,1 970-245-7994,phonemedicgjmall@gmail.com,N/A," 2424 U.S HIGHWAY 6 AND 50, Grand Junction, CO 81505, United States",https://www.facebook.com/hightidesaccessories/,http://www.hightideswireless.com/,yes
"Jestibo, LLC","Jestibo, LLC has the largest quality wholesale wireless accessories in Colorado to choose from with over 40,000 skus.
Jestibo has it all from Bluetooth products, licensed and after market phone covers, head sets, car chargers, travel chargers, screen protectors, FM Transmitters, batteries, and much much more. We supply for all makes and models of wireless phones and devices.",yes,no,Rami Merheb,CEO,1 720-262-8262,Getsmart5280@gmail.com,https://www.linkedin.com/in/rami-merheb-8738bb6/,"5773 Logan Street, Denver, CO 80216, USA",https://www.facebook.com/JestiboLLC/,N/A,yes
"Macalegin Electronics, LLC","Macalegin Electronics, LLC. is a U.S. based wholesale supplier of used smartphones, tablets, and other portable electronic devices. ",yes,no,Jonathan Kackstaetter,Chief Operations Officer,1 307-399-6642,sales@macaleginelectronics.com,https://www.linkedin.com/in/jonkackstaetter/,"800 Stockton Ave., Unit 1, Fort Collins, CO 80525, United States",https://www.facebook.com/macalegin/,https://www.macaleginelectronics.com/,yes
Mountain Communications,"Cell phone store in , Colorado",no,yes,N/A,N/A,1 970-949-6702,N/A,N/A,"41149 US-6, Avon, CO 81620, United States",N/A,https://www.mountaincomm.com/,yes
Planet Accessories,"Cell phone store in Aurora, Colorado",no,yes,Joel Boyd,General Manager,1 720-639-3935,JBoyd@wpgus.com,N/A,"14200 E Alameda Ave, Aurora, CO 80012, United States",https://towncenterataurora.com/social-media/facebook,https://towncenterataurora.com/stores/planet-accessories,yes
The Phone Plug,"We have new and used phones, cell phone accessories, and offer cell phone repairs.",no,yes,N/A,N/A,1 720-243-4528,thephoneplugco@gmail.com,N/A,"2155 S Chambers Rd, Aurora, CO 80014, United States",https://www.facebook.com/thephoneplugco,https://thephoneplug.co/,yes
Wireless Image,"Cell phone store in Denver, Colorado",no,yes,N/A,N/A,1 303-482-1288,wirelessimage09@yahoo.com,N/A,"1740 Federal Blvd #2, Denver, CO 80204, United States",N/A,http://wirelessimage.net/,yes
Accessorywiz,"AccessoryWiz is a leading online mobile accessories retailer in USA. Based in Connecticut since we started the company in 2011. Accessorywiz.com sells quality accessories for iPhone/iPad, Samsung Galaxy, Android devices, Tablets, as well as bluetooth earphones.",no,yes,N/A,N/A,N/A,cs@accessorywiz.com,N/A,"6 W River St, St# 69, Milford, CT 06460, USA",https://www.facebook.com/accessorywizz,https://accessorywiz.com/,yes
OdeMobile,OdeMobile is a leading online mobile accessories retailer in USA,no,yes,N/A,N/A,N/A,cs@odemobile.com,N/A,"PO BOX 701 North Haven, CT 06473, USA",https://www.facebook.com/odemobile/,https://odemobile.com/,yes
UZID,"UZID is a leading online mobile accessories retailer in USA. We offer the latest mobile phone and tablet accessories. Based in North Haven, Connecticut since we started the company in 2010. Uzid.com sells quality accessories for iPhone and Android devices, as well as bluetooth equipment. With a product range of over 100,000 different accessories we have a strong position on the mobile market.",no,yes,N/A,N/A,(203) 772-0038,store@uzid.com,N/A,"PO Box 3366, Milford, CT 06460, USA",https://www.facebook.com/uzidcom,https://uzid.com/,yes
Wireless Shop,Master Distributor for over 25 prepaid services including Lyca and H2O.,no,yes,Steven Butts,Regional Manager,1 877-926-5025,sales@jayscomm.com,N/A,"164 Central Street, New Britain, CT 06051, United States",https://www.facebook.com/wirelessshoponline,http://www.wirelessshoponline.com/,yes
Clark's Cellphone Corner,Cell phone & accessories store in Delaware,no,yes,N/A,N/A,1 302-407-5643,clarkscellphonecorner@gmail.com,N/A,"301 S Maryland Ave, Wilmington, DE 19804, United States",https://www.facebook.com/clarkscellphonecorner/,http://clarkscellphonecorner.com/,yes
eSecure Trading Inc,"eSecure Trading Inc is a leading independent wholesale trade marketplace for selling Tech & Smartphone Accessories, Macihne Parts and Auto to its wholesale trade members who sell on amazon and other e-portals across the web.",yes,no,N/A,N/A,540-456-1002,info@esecurecell.com,N/A,"913 N Market Street, Suite 200, Wilmington, DE 19801, USA",N/A,https://www.esecurecell.com/,yes
FashionTIY,Cheap cell phone cases wholesale distributors for boutiques USA. Our selection of bulk Mobile Phone Accessories is the perfect opportunity for your customers to express their individual styles. ,yes,no,Victoria Wen,Business Sales,1 302 5957992,tiy@fashiontiy.com,https://www.linkedin.com/in/victoria-wen-380ba8148/,"2035 Sunset Lake Rd, Ste B2 Newark, Delaware, USA",https://www.facebook.com/fashiontiy.inc,https://www.fashiontiy.com/,yes
First State Wireless,"Cell phone store in Delmar, Delaware",yes,no,N/A,N/A,(302) 846-9040,N/A,N/A,"38627 Benro Drive Suite 3 Delmar, DE 19940, USA",N/A,https://first-state-wireless.business.site/,yes
Seaford Wireless,"We specialize in providing excellent Customer service, wireless accessories, Cellphone Repairs, and services in the prepaid market.",no,yes,N/A,N/A,(302) 966-9720,seafordwireless@gmail.com,N/A,"32 S Market St, Seaford, Delaware 19973, United States",https://www.facebook.com/Sefordwireless/,https://seafordwireless.com/,yes
