storeName,city,phoneNumber,website,facebookPage,email,country,phones
Olleh,"100 Geumo 4-gil, Dong-myeon, Yangsan-si, Gyeongsangnam-do, South Korea",+82 1670-3730,www.phone2s.com,https://www.facebook.com/phone2s,,south korea,yes
Lgu Plus,"230 Yongsan-dong, Dalseo-gu, Daegu, South Korea",+82 53-563-1019,www.uplus.co.kr,https://www.facebook.com/LGUplus,,south korea,yes
KT m&s—English-speaking Cell Phone Store,"41942, 90-1 Dongseongro 3-ga, Jung-gu, Daegu, South Korea",+82 53-431-0130,,https://m.facebook.com/globalktdaegu/,1158165@ktmns.com,south korea,yes
Korea Smartphone Exchange,"South Korea, Daegu, Jung-gu, Dongseong-ro 1-gil, 48 1층",+82 70-4941-8276,hansguo.com,https://www.facebook.com/hansguo.co.kr/,,south korea,yes
Daejeon Prepaid Phone,"South Korea, Daejeon, Dong-gu, Yongjeon-dong, 117-3 초니폰",+82 10-9506-6111,blog.naver.com,https://www.facebook.com/daejeonnt/,chonichoi@naver.com,south korea,yes
Lgu+ Yucheon Branch,"South Korea, Daejeon, Jung-gu, Yucheon 2(i)-dong, 206-29",+82 42-528-0102,www.uplus.co.kr,https://www.facebook.com/LGUplus,,south korea,yes
Geonwoo Mobile Wolpyeong Branch,"311 Wolpyeong 2(i)-dong, Seo-gu, Daejeon, South Korea",+82 42-485-6620,blog.naver.com,https://www.facebook.com/1663738697184956/,gw180102@daum.net,south korea,yes
Daejeon Phones,"South Korea, Daejeon, Dong-gu, Jung-dong, 중앙로 218",+82 10-2159-9907,,https://m.facebook.com/profile.php?id=114833063591028,osdin87@naver.com,south korea,yes
Moa Dealership,"20 Wolpyeongjung-ro, Wolpyeong 1(il)-dong, Seo-gu, Daejeon, South Korea",+82 70-4388-7737,www.uplus.co.kr,https://www.facebook.com/LGUplus,,south korea,yes
Geonwoo Mobile Dunsan Sujeong Branch,"South Korea, KR 대전광역시 서구 청사로 282 상가동 119호",+82 42-483-6620,pf.kakao.com,https://www.facebook.com/1663738697184956/,gw180102@daum.net,south korea,yes
My local cell phone store,"South Korea, KR 대전광역시 서구 1204번지 녹원상가 우리동네휴대폰가게 102호",+82 10-4000-4968,blog.naver.com,https://www.facebook.com/mint1655/,mint1655@naver.com,south korea,yes
friendly dealer,"12-1 Taepyeong-ro, Yucheon 1(il)-dong, Jung-gu, Daejeon, South Korea",+82 42-528-7010,www.uplus.co.kr,https://www.facebook.com/LGUplus,,south korea,yes
"Uplus Co., Ltd. F1","28 Jungang-ro 156beon-gil, Jung-gu, Daejeon, South Korea",+82 10-2442-4427,www.uplus.co.kr,https://www.facebook.com/LGUplus,,south korea,yes
Samsung Mobile,"20-1 Jungangdong 7(chil)-ga, Jung-gu, Busan, South Korea",+82 51-678-4086,www.samsung.com,https://www.facebook.com/SamsungUS,,south korea,yes
Hwihwang Mobye,"57 Sasang-ro 211(ibaeksibil)beon-, Gwaebeop-dong, Sasang-gu, Busan, South Korea",+82 10-8689-8398,,https://m.facebook.com/HuyHoangBusanShop,,south korea,yes
Dream Telecom,"820-1 Hakjang-dong, Sasang-gu, Busan, South Korea",+82 51-311-2218,,https://www.facebook.com/Dream.since2013/,dream161218@naver.com,south korea,yes
"U Plus Co., Ltd.","25-7 Daeheung-dong, Jinhae-gu, Gyeongsangnam-do, South Korea",+82 55-551-9019,www.uplus.co.kr,https://www.facebook.com/LGUplus,,south korea,yes
"Sns Telecom, a place that sells mobile phones cheaply","South Korea, Chungcheongnam-do, Cheonan-si, Seobuk-gu, 충청남도 천안시 서북구 봉서5길 28 KOR",+82 41-573-6787,cafe.naver.com,https://www.facebook.com/691461370956640/,oov00v@naver.com,south korea,yes
new phone old phone,"Cheonan, South Korea",+82 41-552-4898,,https://www.facebook.com/dabin1900/,,south korea,yes
Cheongju iPhone Repair The Fix Here,"South Korea, 상당로 222 청원구 청주시 충청북도 KR",+82 43-221-1215,blog.naver.com,https://www.facebook.com/thefixhere/,thefixhere@gmail.com,south korea,yes
Hanul Telecom,"500-3 Yullyang-dong, Sangdang-gu, Cheongju-si, Chungcheongbuk-do, South Korea",+82 43-288-6160,,https://www.facebook.com/238358552996071/,,south korea,yes
SK Telecom Haneum Agency Cheongju Terminal Branch,"South Korea, 강서동 ４７６ SKT한음청주터미널점 흥덕구 청주시 충청북도 KR",+82 43-232-9011,naver.me,https://www.facebook.com/400304920424849/,,south korea,yes
Smartphone All-in-One Chuncheon-Main Branch,"South Korea, Gangwon-do, Chuncheon-si, Hyoja 2(i)-dong, 627-4 KR",+82 10-2936-1115,cell-phone-store-2907.business.site,https://www.facebook.com/734714663243476/,,south korea,yes
Uplus Chuncheon Branch,"173 Ungyo-dong, Chuncheon-si, Gangwon-do, South Korea",+82 33-241-2019,www.lguplus.com,https://www.facebook.com/LGUplus,,south korea,yes
Kt Gwangmyeong Station Branch,"South Korea, Gyeonggi-do, Gwangmyeong-si, Singi-ro, 7 KR 골드스타 빌딩 108호",+82 2-899-2596,,https://www.google.com/maps/?cid=3127395045419307313,,south korea,yes
Phone Sayo Mall Used Phone Anyang Branch,"South Korea, Gyeonggi-do, Anyang, Bisan-dong, Simin-daero, 171 KR",+82 31-466-8444,phone4yomall.com,https://www.google.com/maps/?cid=14179721041405332051,,south korea,yes
SK Telecom Ian Agency Sillim Branch,"South Korea, Seoul, Gwanak-gu, Sinwon-dong, 동부상가 1층 103호 이안대리점 신림점",+82 2-853-5054,center-pf.kakao.com,https://www.google.com/maps/?cid=3560549008916697330,,south korea,yes
SK Telecom release agency,"289-25 Gaebong 3(sam)-dong, Guro-gu, Seoul, South Korea",+82 2-2687-9585,,https://www.google.com/maps/?cid=6306954599534491632,,south korea,yes
T world Singil branch,"156 Singil-ro, Singil 4(sa)-dong, Yeongdeungpo-gu, Seoul, South Korea",+82 2-836-1300,www.tworld.co.kr,https://www.google.com/maps/?cid=7886759810370591507,,south korea,yes
Kt Plaza,"37 Gukjegeumyung-ro 2-gil, Yeongdeungpo-gu, Seoul, South Korea",+82 2-761-6010,www.kt.com,https://www.google.com/maps/?cid=15824247270848092393,,south korea,yes
Kt Salt Network Gaebong Station Branch,"South Korea, Seoul, Guro-gu, Gaebong-dong, 서울 구로 개봉동 202-18 번지 올레 KT",+82 2-2060-9444,kt.com,https://www.google.com/maps/?cid=18046378394503693267,,south korea,yes
iPhone buyers,"97 Saemal-ro, Guro-dong, Guro-gu, Seoul, South Korea",+82 2-6497-4441,iphonebuyer.co.kr,https://www.facebook.com/iphonebuyer.co.kr,park@blueinput.com,south korea,yes
T world Old West,"South Korea, Seoul, Guro-gu, Guro-dong, 807-14",+82 2-861-5555,www.tworld.co.kr,https://www.google.com/maps/?cid=11474156359675805039,,south korea,yes
Sk Telecom,"Mullaedong 3(sam)-ga, Yeongdeungpo-gu, Seoul, South Korea",+82 70-8888-8319,,https://www.google.com/maps/?cid=16222052176984562699,,south korea,yes
SK Telecom Cleantel,"993-56 Daerim-dong, Yeongdeungpo-gu, Seoul, South Korea",+82 2-834-2900,,https://www.google.com/maps/?cid=5555362858911726715,,south korea,yes
"Hilarius Co., Ltd.","대륭테크노타운15차, Dongan-gu, Anyang-si, Gyeonggi-do, South Korea",+82 2-3444-7383,www.hilaryus.com,https://twitter.com/ykh894,,south korea,yes
SK Telecom Gwacheon Central Agency,"40-11 Jungang-dong, Gwacheon-si, Gyeonggi-do, South Korea",+82 2-504-6015,www.tworld.co.kr,https://www.google.com/maps/?cid=13665558398961190315,,south korea,yes
T world Guro branch,"1258 Guro-dong, Guro-gu, Seoul, South Korea",+82 2-2617-6011,,https://www.google.com/maps/?cid=8539536843961553489,,south korea,yes
Mobile Phones in Korea - Community Korea,"371-28 Gasan-dong, Geumcheon-gu, Seoul, South Korea",+82 10-4833-0955,,https://www.google.com/maps/?cid=17172705758874031663,,south korea,yes
Bangbae Direct Branch,"908-5 Bangbae-dong, Seocho-gu, Seoul, South Korea",+82 2-525-3019,lgtelecom.com,https://www.google.com/maps/?cid=9620248323986854005,,south korea,yes
T world big love agency Isu station branch,"85 Dongjak-daero, Dongjak-gu, Seoul, South Korea",+82 2-6295-3300,www.tworld.co.kr,https://www.google.com/maps/?cid=4959184205589371532,,south korea,yes
Gold Class Mobile,"28 Manyang-ro 14-gil, Noryangjin 1(il)-dong, Dongjak-gu, Seoul, South Korea",,,https://www.google.com/maps/?cid=2189197500188326094,,south korea,yes
SK Telecom,"South Korea, Gyeonggi-do, Suwon-si, Jangan-gu, Yuljeon-dong, 238-3",+82 31-271-1668,,https://www.google.com/maps/?cid=4756053102846161677,,south korea,yes
SK Telecom Sanbon Agency,"1144-2 Sanbon-dong, Gunpo-si, Gyeonggi-do, South Korea",+82 31-393-4011,,https://www.google.com/maps/?cid=16653945634421258514,,south korea,yes
Samsung Smartphone DS damaged liquid crystal,"Dang-dong, Gunpo-si, Gyeonggi-do, South Korea",+82 1566-1170,,https://www.google.com/maps/?cid=6208679925206435203,,south korea,yes
"Two My Telecom Co., Ltd.","1144-2 Sanbon-dong, Gunpo-si, Gyeonggi-do, South Korea",+82 31-344-4010,,https://www.google.com/maps/?cid=8046310517331264868,,south korea,yes
SK Telecom,"974-6 Dangjeong-dong, Gunpo-si, Gyeonggi-do, South Korea",+82 31-427-8011,www.sktelecom.com,https://twitter.com/sktelecom,,south korea,yes
"Multi Sky Co., Ltd.","1638-17 Sillim-dong, Gwanak-gu, Seoul, South Korea",+82 2-887-2102,www.multisky.co.kr,https://www.google.com/maps/?cid=3100648933781762916,,south korea,yes
Sam-El,"Guro-dong, Guro-gu, Seoul, South Korea",+82 70-7803-8400,www.kkamzzak.com,http://twitter.com/home,,south korea,yes
GUNPO TELECOM - Điện Thoại Hàn Quốc,"750-25 Dang-dong, Gunpo-si, Gyeonggi-do, South Korea",+82 10-9529-8668,,https://www.facebook.com/hoangtrungkr/,,south korea,yes
SK Telecom Jieun Agency Doksan Branch,"1031 Doksan-dong, Geumcheon-gu, Seoul, South Korea",+82 2-894-8855,www.tworld.co.kr,https://www.google.com/maps/?cid=5304455733074737376,,south korea,yes
KTF Geumcheon Daemyung Market Branch,"889-13 Siheung-dong, Geumcheon-gu, Seoul, South Korea",+82 2-802-7016,,https://www.google.com/maps/?cid=14170874712070038548,,south korea,yes
LG Telecom Guro Branch,"1125-1 Guro-dong, Guro-gu, Seoul, South Korea",+82 2-867-8019,lgtelecom.com,https://www.google.com/maps/?cid=7313130218673828617,,south korea,yes
SK Telecom Cheolsan Electronics Agency Gaebong Station Branch,"74 Gaebong-ro 20-gil, Guro-gu, Seoul, South Korea",+82 2-6052-7171,tworldfriends.co.kr,https://www.google.com/maps/?cid=7658143459458322363,,south korea,yes
LG Telecom Naebang Branch,"875-1 Bangbae-dong, Seocho-gu, Seoul, South Korea",+82 2-537-6010,lgtelecom.com,https://www.google.com/maps/?cid=18148865299900657498,,south korea,yes
T world Cleantel agency,"374-71 Gwangmyeong-dong, Gwangmyeong-si, Gyeonggi-do, South Korea",+82 2-2689-7600,tworld.co.kr,https://www.google.com/maps/?cid=1395058450919050869,,south korea,yes
"Top Telecom Co., Ltd.","57-7 Bakdal-dong, Manan-gu, Anyang, Gyeonggi-do, South Korea",+82 31-445-8010,,https://www.google.com/maps/?cid=12415941686149954066,,south korea,yes
"M2Amnet Co., Ltd.","1591-9 Burim-dong, Dongan-gu, Anyang, Gyeonggi-do, South Korea",+82 31-387-3311,www.m2mnet.net,https://www.google.com/maps/?cid=12320296723467063444,,south korea,yes
T Premium Store Gasan Station Branch,"603-2 Gasan-dong, Geumcheon-gu, Seoul, South Korea",+82 70-7470-0055,,https://www.google.com/maps/?cid=9138237990541761723,,south korea,yes
"Wonpoong System Co., Ltd.","1046-6 Beomgye-dong, Dongan-gu, Anyang, Gyeonggi-do, South Korea",+82 31-385-3010,,https://www.google.com/maps/?cid=16268452672299305690,,south korea,yes
Gud-Aenssyo,"1130-3 Sanbon-dong, Gunpo-si, Gyeonggi-do, South Korea",+82 31-392-2227,,https://www.google.com/maps/?cid=2203241736353709251,,south korea,yes
"Top Telecom Co., Ltd.","707-1 Anyang-dong, Manan-gu, Anyang, Gyeonggi-do, South Korea",+82 31-446-6010,,https://www.google.com/maps/?cid=17948901462178083248,,south korea,yes
"Yukyung Telecom Co., Ltd.","1195-48 Anyang-dong, Manan-gu, Anyang, Gyeonggi-do, South Korea",+82 31-441-0852,,https://www.google.com/maps/?cid=12750616158993704551,,south korea,yes
SK Telecom IT Agency Yeongdeungpo Branch,"631-12 Yeongdeungpo-dong, Yeongdeungpo-gu, Seoul, South Korea",+82 2-844-2203,,https://www.google.com/maps/?cid=15841453613215410277,,south korea,yes
Sugar Phone Ansan branch specializing in buying and selling used phones,"South Korea, Gyeonggi-do, Ansan-si, Sangnok-gu, Gwangdeok 1(il)-ro, 365번지 KR 신화프라자 506호",+82 10-2490-2775,www.sugarphone.co.kr,https://www.google.com/maps/?cid=2714991905972477985,,south korea,yes
"DaeAh Communications Co., Ltd.","1503 Gwanyang-dong, Dongan-gu, Anyang, Gyeonggi-do, South Korea",+82 31-425-5504,,https://www.google.com/maps/?cid=4917747769665193800,,south korea,yes
"Yukyung Telecom Co., Ltd.","1607 Burim-dong, Dongan-gu, Anyang, Gyeonggi-do, South Korea",+82 31-381-0030,,https://www.google.com/maps/?cid=18177461500671031402,,south korea,yes
"Jieun Information & Communication Co., Ltd.","1397-9 Gwanyang-dong, Dongan-gu, Anyang, Gyeonggi-do, South Korea",+82 31-385-2900,,https://www.google.com/maps/?cid=17334188612337571962,,south korea,yes
SK Telecom Siheung Neunggok Station Branch,"South Korea, Gyeonggi-do, Siheung-si, Neunggok-ro, 188 tworld 효창프라자 1층",+82 31-317-6660,,https://www.google.com/maps/?cid=1588886475261972968,,south korea,yes
"Seungri Mobile Co., Ltd.","535 Gojan 2(i)-dong, Danwon-gu, Ansan-si, Gyeonggi-do, South Korea",+82 31-403-3019,,https://www.google.com/maps/?cid=3359858306211231739,,south korea,yes
T world Gwanak Suhwatel branch,"972-28 Bongcheon-dong, Gwanak-gu, Seoul, South Korea",+82 2-885-2011,,https://www.google.com/maps/?cid=14722645001742646072,,south korea,yes
Concierge Ansan Branch,"Gojan-dong, Danwon-gu, Ansan-si, Gyeonggi-do, South Korea",+82 31-405-3599,www.concierge.co.kr,https://www.google.com/maps/?cid=18299657338802665687,,south korea,yes
"Multi Sky Co., Ltd.","265-47 Sadang-dong, Dongjak-gu, Seoul, South Korea",+82 2-805-2102,www.multisky.co.kr,https://www.google.com/maps/?cid=8286974007595083821,,south korea,yes
S&K,"1258 Guro 2(i)-dong, Guro-gu, Seoul, South Korea",+82 2-2101-3750,,https://www.google.com/maps/?cid=16651245620720273906,,south korea,yes
"Southern Mobile Co., Ltd.","Bugok-dong, Sangnok-gu, Ansan-si, Gyeonggi-do, South Korea",+82 31-413-8011,,https://www.google.com/maps/?cid=13879454969608686740,,south korea,yes
Kt Hudeok Sadang Branch,"22 Dongjak-daero, Bangbae 2(i)-dong, Seocho-gu, Seoul, South Korea",+82 2-3471-7755,www.kt.com,https://www.google.com/maps/?cid=12865205258367302671,,south korea,yes
"Sambo Telecom Co., Ltd.","1134-1 Sanbon-dong, Gunpo-si, Gyeonggi-do, South Korea",+82 31-394-2211,,https://www.google.com/maps/?cid=6282965711221422843,,south korea,yes
"Pharaoh Telecom Co., Ltd.","266-2 Sanbon-dong, Gunpo-si, Gyeonggi-do, South Korea",+82 31-392-5011,,https://www.google.com/maps/?cid=6521339620923143088,,south korea,yes
T World Md Agency Guro Direct Branch,"810-7 Guro 3(sam)-dong, Guro-gu, Seoul, South Korea",+82 2-867-3631,,https://www.google.com/maps/?cid=11060270755399570829,,south korea,yes
"Nayeon Information and Communication Co., Ltd.","518-1 Sillim-dong, Gwanak-gu, Seoul, South Korea",+82 2-3281-9019,,https://www.google.com/maps/?cid=14504984458444952044,,south korea,yes
"Top Telecom Co., Ltd.","674-145 Anyang-dong, Manan-gu, Anyang, Gyeonggi-do, South Korea",+82 31-395-8010,,https://www.google.com/maps/?cid=16857267486675293346,,south korea,yes
"Yukyung Telecom Co., Ltd.","104-4 Ojeon-dong, Uiwang-si, Gyeonggi-do, South Korea",+82 31-455-1881,,https://www.google.com/maps/?cid=5167252908882873228,,south korea,yes
"PK Telecom Co., Ltd.","1057-3 Namhyeon-dong, Gwanak-gu, Seoul, South Korea",+82 2-586-1619,,https://www.google.com/maps/?cid=4844665986767016604,,south korea,yes
"Sambo Telecom Co., Ltd.","Poil-dong, Uiwang-si, Gyeonggi-do, South Korea",+82 31-421-0655,,https://www.google.com/maps/?cid=126884013816341769,,south korea,yes
"21st Century Electronics Co., Ltd.","994-1 Siheung-dong, Geumcheon-gu, Seoul, South Korea",+82 2-809-0600,,https://www.google.com/maps/?cid=10891282418245119733,,south korea,yes
"21st Century Electronics Co., Ltd.","831-6 Siheung 5(o)-dong, Geumcheon-gu, Seoul, South Korea",+82 2-893-0777,,https://www.google.com/maps/?cid=12621834257469361080,,south korea,yes
"Seongyeon Telecom Co., Ltd.","54-66 Mullaedong 3(sam)-ga, Yeongdeungpo-gu, Seoul, South Korea",+82 2-3439-2711,,https://www.google.com/maps/?cid=1706584638259991768,,south korea,yes
"Seonglim Communications Co., Ltd.","Sangdo 1(il)-dong, Dongjak-gu, Seoul, South Korea",+82 2-822-1011,,https://www.google.com/maps/?cid=4101285516926197731,,south korea,yes
Show Confederate States 2 (Mobile Star One) Retailer,관악구 청룡동 930-42,+82 2-888-1601,,https://foursquare.com/v/show-%EB%82%A8%EB%B6%80%EC%97%B0%ED%95%A9-2-%EB%AA%A8%EB%B0%94%EC%9D%BC-%EC%8A%A4%ED%83%80%EC%9B%90-%EB%8C%80%EB%A6%AC%EC%A0%90/4c8eeb21d68c6dcb7e7300a2,,south korea,yes
"Hanheung Telecom Co., Ltd.","287-1 Doksan 4(sa)-dong, Geumcheon-gu, Seoul, South Korea",+82 2-858-7000,,https://www.google.com/maps/?cid=18335411993913840640,,south korea,yes
"Hana CP Co., Ltd.","898-3 Bangbae-dong, Seocho-gu, Seoul, South Korea",+82 2-582-3667,,https://www.google.com/maps/?cid=1722227353522789499,,south korea,yes
olleh KT m&s,디지털로34길 55,+82 2-867-6060,my.olleh.com,https://www.facebook.com/olleh.fb,,south korea,yes
"Magpie CMC Co., Ltd.","413-68 Guro 2(i)-dong, Guro-gu, Seoul, South Korea",+82 2-858-7046,,https://www.google.com/maps/?cid=1660534099154059008,,south korea,yes
"YJ Telecom Co., Ltd.","1435-15 Sillim-dong, Gwanak-gu, Seoul, South Korea",+82 2-886-9011,,https://www.google.com/maps/?cid=61909094040049457,,south korea,yes
"Seoil Information & Communication Co., Ltd.","295-23 Gwangmyeong-dong, Gwangmyeong-si, Gyeonggi-do, South Korea",+82 2-2612-2017,,https://www.google.com/maps/?cid=9968787481002628242,,south korea,yes
"Gaon Telecom Co., Ltd.","751 Neunggok-dong, Siheung-si, Gyeonggi-do, South Korea",+82 31-318-9015,,https://www.google.com/maps/?cid=18167890820174866210,,south korea,yes
"Hanyu L&S Co., Ltd.","South Korea, 서울 관악구 행운[봉천6동]동 1679-30",+82 2-573-1057,,https://www.google.com/maps/?cid=15509431884389240188,,south korea,yes
Olleh Plaza,관악구 조원중앙로1길 26,+82 80-258-1023,www.olleh.com,https://twitter.com/olleh,,south korea,yes
"SM4U Co., Ltd.","810 Guro 3(sam)-dong, Guro-gu, Seoul, South Korea",+82 2-859-9017,,https://www.google.com/maps/?cid=7970730672922175999,,south korea,yes
"TJ Network Co., Ltd.","54-66 Mullaedong 3(sam)-ga, Yeongdeungpo-gu, Seoul, South Korea",+82 2-3439-0360,,https://www.google.com/maps/?cid=12728918477584720094,,south korea,yes
T world Daekyo branch Uiwang branch,"16 Morang-ro, Uiwang-si, Gyeonggi-do, South Korea",,,https://www.google.com/maps/?cid=12497200460425004591,,south korea,yes
"Geomok Telecom Co., Ltd.","3-25 Guro 5(o)-dong, Guro-gu, Seoul, South Korea",+82 2-716-5030,,https://www.google.com/maps/?cid=8079376975275996131,,south korea,yes
Katie M&s,"42 Yeouinaru-ro, Yeoeuido-dong, Yeongdeungpo-gu, Seoul, South Korea",+82 2-2070-7327,www.ktmns.com,https://www.google.com/maps/?cid=2560477156810753005,,south korea,yes
T World,동안구 범계동 1046-8 1f,+82 31-389-9955,,https://foursquare.com/v/t-world/4dd39ef8d4c05dc63ac68ee8,,south korea,yes
"GST Information & Communication Co., Ltd.","South Korea, 서울 관악구 신사[신림4동]동 514-13",+82 2-852-7766,,https://www.google.com/maps/?cid=10004115407913929667,,south korea,yes
"Hankyung Ohsae Communications Co., Ltd.","170-5 Guro-dong, Guro-gu, Seoul, South Korea",+82 2-2108-2797,,https://www.google.com/maps/?cid=12009338157291379289,,south korea,yes
"Hyundai Infinity Co., Ltd.","327-15 Sangdo 3(sam)-dong, Dongjak-gu, Seoul, South Korea",+82 2-821-7016,,https://www.google.com/maps/?cid=4142598575661389266,,south korea,yes
A#shop,영등포구 영중로 15,+82 2-2638-2730,www.theashop.co.kr,https://foursquare.com/v/ashop/4b9b2ad6f964a52060f735e3,,south korea,yes
"Hanbaek Mobile Communications Co., Ltd.","1-17 Yeongdeungpodong 6(yuk)-ga, Yeongdeungpo-gu, Seoul, South Korea",+82 2-2633-6005,,https://www.google.com/maps/?cid=9522385955032131402,,south korea,yes
U+Square,"533-31 Anyang 6(yuk)-dong, Manan-gu, Anyang, Gyeonggi-do, South Korea",,,https://www.google.com/maps/?cid=12507917464465431591,,south korea,yes
Qook&show,구로구 구로3동 1128-3 파트너스2차 1층,+82 1577-2648,,https://foursquare.com/v/qook--show-as-center/4c564e1cd12a20a1155464bd,,south korea,yes
Olleh Plaza,구로구 개봉동 280-7,+82 2-2612-0800,,https://foursquare.com/v/%EC%98%AC%EB%A0%88%ED%94%8C%EB%9D%BC%EC%9E%90-olleh-plaza/4bd4f5134e32d13ab343c080,,south korea,yes
Olleh Plaza,서초구 효령로 176,+82 2-581-0200,,https://foursquare.com/v/%EC%98%AC%EB%A0%88%ED%94%8C%EB%9D%BC%EC%9E%90-olleh-plaza/4bd4f67b4e32d13a1646c080,,south korea,yes
best mobile,신림역 5번 출구,,,https://foursquare.com/v/%EB%B2%A0%EC%8A%A4%ED%8A%B8-%EB%AA%A8%EB%B0%94%EC%9D%BC/50ab2a7a498eb85ed8c04f4a,,south korea,yes
Olleh Plaza,영등포구 여의대로 14,+82 2-783-0200,,https://foursquare.com/v/%EC%98%AC%EB%A0%88%ED%94%8C%EB%9D%BC%EC%9E%90-olleh-plaza/4bd4f16b4e32d13a923dc080,,south korea,yes
Samsung Mobile Shop / Samsung Mobileshop,동안구 시민대로 180,,,https://foursquare.com/v/%EC%82%BC%EC%84%B1%EB%AA%A8%EB%B0%94%EC%9D%BC%EC%83%B5--samsung-mobileshop/50177c8ae4b0aa0aea360245,,south korea,yes
Tworld Bangbae Station Agency,서초구 효령로 115,,,https://foursquare.com/v/tworld-%EB%B0%A9%EB%B0%B0%EC%97%AD-%EB%8C%80%EB%A6%AC%EC%A0%90/5449fe60498e19baa687bd0c,,south korea,yes
K2nepal,"27, Damunhwa 1-gil, Danwon-gu, Ansan-si, Gyeonggi-do, South Korea",+82 31-493-1082,k2nepalzone.com,https://www.facebook.com/1020330328085280/,,south korea,yes
SK Telecom Gongdo Agency,"821-2 Manjeong-ri, Gongdo-eup, Anseong, Gyeonggi-do, South Korea",+82 31-692-4449,,https://www.google.com/maps/?cid=3300381569509541783,,south korea,yes
Pyeongsu's mobile phone,"South Korea, Gyeonggi-do, Anseong, Seokjeong-dong, 276",+82 31-675-2011,,https://www.google.com/maps/?cid=5739064830423448396,,south korea,yes
Deowon,"100-56 Majeong-ri, Gongdo-eup, Anseong, Gyeonggi-do, South Korea",+82 31-654-2882,,https://www.google.com/maps/?cid=14725029338613017265,,south korea,yes
"AT&C Co., Ltd.","South Korea, Gyeonggi-do, Anseong, Seokjeong-dong, 22-1",+82 31-671-0016,,https://www.google.com/maps/?cid=6129506385789723835,,south korea,yes
Mobile outlet,"796-5 Manjeong-ri, Gongdo-eup, Anseong, Gyeonggi-do, South Korea",+82 31-654-8033,,https://www.google.com/maps/?cid=8128132596308484434,,south korea,yes
Anseong Used Phone Mania,"South Korea, 공도읍 용두리 273-1번지 1층 102호 버스정류장 안성시 경기도 KR",+82 31-657-8850,,https://www.google.com/maps/?cid=1740486789664607355,,south korea,yes
Mobile phone discount store Iljuk branch,"20-15 Songcheon-ri, Iljuk-myeon, Anseong, Gyeonggi-do, South Korea",+82 70-7793-3636,,https://www.google.com/maps/?cid=4835403953739785705,,south korea,yes
Cell phone department store,"417-51 Manjeong-ri, Gongdo-eup, Anseong, Gyeonggi-do, South Korea",+82 31-651-3500,,https://www.google.com/maps/?cid=4551428496627277356,,south korea,yes
Heungjin Mobile,"417-75 Manjeong-ri, Gongdo-eup, Anseong, Gyeonggi-do, South Korea",+82 31-652-8488,,https://www.google.com/maps/?cid=800428700433211713,,south korea,yes
SkyMobile,"South Korea, Gyeonggi-do, Anseong, Seokjeong-dong, 17-2",+82 31-671-2836,,https://www.google.com/maps/?cid=9590769037724802527,,south korea,yes
Gongdo Communications,"417-13 Manjeong-ri, Gongdo-eup, Anseong, Gyeonggi-do, South Korea",+82 31-655-8733,,https://www.google.com/maps/?cid=12438833096091509069,,south korea,yes
SK Telecom Ilseong Agency,"South Korea, Gyeonggi-do, Anseong, Dongbon-dong, 49",+82 31-677-8010,,https://www.google.com/maps/?cid=8370559514067783157,,south korea,yes
Cell phone heaven,"South Korea, Gyeonggi-do, Anseong, Seokjeong-dong, 24-1",+82 31-674-7019,,https://www.google.com/maps/?cid=4480220147568029784,,south korea,yes
Kingstar Telecom Inseong Branch,"714-3번지 Nae-ri, Daedeok-myeon, Anseong, Gyeonggi-do, South Korea",,,https://www.google.com/maps/?cid=15830707612770898407,,south korea,yes
Dipon,"817-2 Manjeong-ri, Gongdo-eup, Anseong, Gyeonggi-do, South Korea",+82 31-691-0010,,https://www.google.com/maps/?cid=11298148017667788639,,south korea,yes
Design Skin Starfield Anseong,"364-3 Jinsa-ri, Gongdo-eup, Anseong, Gyeonggi-do, South Korea",,,https://www.google.com/maps/?cid=4394544000142100179,,south korea,yes
Cell phone brother,"South Korea, Chungcheongnam-do, Asan-si, 모종동 모종남로 22번길 8 캐슬타워 빌딩 103호 휴대폰브라더",+82 41-531-5898,,https://www.google.com/maps/?cid=3985138013706779700,,south korea,yes
Hanbo Mobile Communications,"754 Onyang 2(i)-dong, Asan-si, Chungcheongnam-do, South Korea",+82 41-546-6373,,https://www.google.com/maps/?cid=8056636194364626688,,south korea,yes
cell phone country,"445-1 Sandong-ri, Eumbong-myeon, Asan-si, Chungcheongnam-do, South Korea",+82 41-543-7878,,https://www.google.com/maps/?cid=5675317438146223510,,south korea,yes
Tangjeong Mobile,"South Korea, Chungcheongnam-do, Asan-si, Tangjeong-myeon, Tangjeongmyeon-ro 22beon-gil, 15-4 KR",+82 41-547-2345,blog.naver.com,https://www.google.com/maps/?cid=12234351901039653879,,south korea,yes
SK Telecom Asan Oncheon Branch,"충무로 Asan-si, Chungcheongnam-do, South Korea",,,https://www.google.com/maps/?cid=9634222110496892248,,south korea,yes
Cell phone plaza,"111-3 Bangchuk-dong, Asan-si, Chungcheongnam-do, South Korea",+82 41-543-1111,,https://www.google.com/maps/?cid=10544475066198004390,,south korea,yes
YES COMMUNICATION,"South Korea, Chungcheongnam-do, Asan-si, Dunpo-myeon, Dunpo-ri, 420-4 KR",+82 41-531-4542,,https://www.google.com/maps/?cid=13096793892764962534,,south korea,yes
